,gid,행정동,geometry,coordinates,centroid,인구수,고령인구수,id,장애인복지시설수,경로당수,BF인증시설수,무장애산책로,전동휠체어충전소,장애인_실내문화공간,장애인_실외문화공간,주차장수
222,�쇰씪61a81a,금곡면,"MULTIPOLYGON (((128.1694737829376 35.1223376476526, 128.1695106755245 35.12684596698062, 128.1749981306194 35.12681552965882, 128.1749609357085 35.12230721538945, 128.1694737829376 35.1223376476526)))","[[128.16947378293762, 35.1223376476526], [128.16951067552452, 35.12684596698062], [128.17499813061937, 35.12681552965882], [128.1749609357085, 35.122307215389455], [128.16947378293762, 35.1223376476526]]",POINT (128.1722358810246 35.12457661062305),0.0,,222,0,0,0,0,0,0,0,0
223,�쇰씪37b94a,수곡면,"MULTIPOLYGON (((127.9121608848712 35.24070795146771, 127.9121836977885 35.245216374215, 127.9176793512163 35.24519753254256, 127.9176562341553 35.24068911292214, 127.9121608848712 35.24070795146771)))","[[127.91216088487116, 35.240707951467705], [127.91218369778852, 35.245216374215], [127.91767935121631, 35.245197532542555], [127.91765623415526, 35.24068911292214], [127.91216088487116, 35.240707951467705]]",POINT (127.914920041902 35.24295276358119),24.0,15.0,223,0,0,0,0,0,0,0,0
224,�쇰씪53b93b,집현면,"MULTIPOLYGON (((128.0879766434917 35.235473065621, 128.0880091811437 35.23998137116067, 128.0935043326849 35.23995454910722, 128.0934714910004 35.235446248019, 128.0879766434917 35.235473065621)))","[[128.08797664349171, 35.235473065621], [128.0880091811437, 35.23998137116067], [128.09350433268486, 35.239954549107225], [128.09347149100043, 35.235446248018995], [128.08797664349171, 35.235473065621]]",POINT (128.0907404119295 35.23771382926655),1671.0,277.0,224,1,2,0,0,0,0,0,0
225,�쇰씪50b89b,유곡동,"MULTIPOLYGON (((128.0547619470669 35.19956196021556, 128.0547926059782 35.20407031869353, 128.0602853694174 35.20404502708588, 128.060254407004 35.19953667280728, 128.0547619470669 35.19956196021556)))","[[128.05476194706694, 35.19956196021556], [128.05479260597818, 35.20407031869353], [128.06028536941741, 35.20404502708588], [128.06025440700395, 35.199536672807284], [128.05476194706694, 35.19956196021556]]",POINT (128.057523582224 35.20180351546284),37.0,21.0,225,0,1,0,0,0,0,0,0
226,�쇰씪77a88a,이반성면,"MULTIPOLYGON (((128.3457111080141 35.18435423373129, 128.3457578189757 35.18886232289791, 128.351249215113 35.18882384746716, 128.3512022009521 35.18431576468978, 128.3457111080141 35.18435423373129)))","[[128.3457111080141, 35.18435423373129], [128.3457578189757, 35.18886232289791], [128.351249215113, 35.188823847467155], [128.3512022009521, 35.18431576468978], [128.3457111080141, 35.18435423373129]]",POINT (128.3484800855465 35.18658906294544),0.0,0.0,226,0,0,0,0,0,0,0,0
227,�쇰씪49a95b,명석면,"MULTIPOLYGON (((128.0386419437907 35.25373655427324, 128.0386717715629 35.25824488446402, 128.044168202568 35.25822029135605, 128.0441380704794 35.25371196524587, 128.0386419437907 35.25373655427324)))","[[128.0386419437907, 35.25373655427324], [128.0386717715629, 35.25824488446402], [128.04416820256796, 35.258220291356054], [128.04413807047936, 35.25371196524587], [128.0386419437907, 35.25373655427324]]",POINT (128.0414049969623 35.25597844463859),11.0,8.0,227,0,0,0,0,0,0,0,0
229,�쇰씪59b87b,금산면,"MULTIPOLYGON (((128.153480712473 35.18103553484558, 128.1535168021096 35.18554382498663, 128.1590082179786 35.18551406872491, 128.1589718251388 35.18100578352561, 128.153480712473 35.18103553484558)))","[[128.15348071247297, 35.181035534845584], [128.15351680210955, 35.18554382498663], [128.15900821797857, 35.18551406872491], [128.15897182513876, 35.18100578352561], [128.15348071247297, 35.181035534845584]]",POINT (128.1562443892569 35.18327482376829),77.0,30.0,229,0,0,0,0,0,0,0,0
230,�쇰씪54b96a,집현면,"MULTIPOLYGON (((128.0991321334201 35.25796063004439, 128.0991653159568 35.2624689096777, 128.1046619740024 35.26244156600936, 128.1046284870988 35.25793329091275, 128.0991321334201 35.25796063004439)))","[[128.09913213342014, 35.257960630044394], [128.0991653159568, 35.2624689096777], [128.10466197400243, 35.26244156600936], [128.10462848709884, 35.25793329091275], [128.09913213342014, 35.257960630044394]]",POINT (128.1018969774663 35.26020111996779),38.0,12.0,230,0,0,0,0,0,0,0,0
232,�쇰씪62a77b,금곡면,"MULTIPOLYGON (((128.1801858326081 35.09071827551931, 128.1802232715994 35.09522660844844, 128.1857085952732 35.09519571026873, 128.1856708544311 35.09068738247692, 128.1801858326081 35.09071827551931)))","[[128.18018583260812, 35.09071827551931], [128.1802232715994, 35.095226608448435], [128.18570859527316, 35.095195710268726], [128.1856708544311, 35.09068738247692], [128.18018583260812, 35.09071827551931]]",POINT (128.1829471383019 35.09295701485684),0.0,0.0,232,0,1,0,0,0,0,0,0
233,�쇰씪60b88a,금산면,"MULTIPOLYGON (((128.1644996257654 35.18548406350449, 128.1645363299561 35.18999234032479, 128.1700280328604 35.1899620811219, 128.1699910254027 35.18545380932661, 128.1644996257654 35.18548406350449)))","[[128.16449962576542, 35.18548406350449], [128.16453632995615, 35.189992340324785], [128.17002803286042, 35.1899620811219], [128.16999102540274, 35.18545380932661], [128.16449962576542, 35.18548406350449]]",POINT (128.1672637533253 35.18772309432038),6.0,0.0,233,0,0,0,0,0,0,0,0
234,�쇰쭏55a02a,미천면,"MULTIPOLYGON (((128.10503082113 35.31203236805996, 128.1050643973834 35.31654060242212, 128.1105647056514 35.31651295410384, 128.1105308242208 35.31200472432577, 128.10503082113 35.31203236805996)))","[[128.10503082113001, 35.31203236805996], [128.1050643973834, 35.31654060242212], [128.1105647056514, 35.316512954103835], [128.11053082422077, 35.312004724325774], [128.10503082113001, 35.31203236805996]]",POINT (128.1077976869423 35.31427268307606),7.000000000000001,0.0,234,0,0,0,0,0,0,0,0
235,�쇰씪68b83a,진성면,"MULTIPOLYGON (((128.2519459410111 35.13988802075707, 128.2519874050723 35.14439624625908, 128.2574759390638 35.1443620600822, 128.2574341724388 35.13985384026053, 128.2519459410111 35.13988802075707)))","[[128.25194594101106, 35.13988802075707], [128.25198740507233, 35.14439624625908], [128.2574759390638, 35.1443620600822], [128.25743417243885, 35.13985384026053], [128.25194594101106, 35.13988802075707]]",POINT (128.2547108642027 35.14212506255529),21.0,9.999999999999998,235,0,0,0,0,0,0,0,0
236,�쇰씪70a87a,사봉면,"MULTIPOLYGON (((128.2687498449687 35.17585030503992, 128.268792292052 35.18035848612941, 128.2742832208951 35.18032350780877, 128.2742404707164 35.17581533252853, 128.2687498449687 35.17585030503992)))","[[128.26874984496874, 35.175850305039916], [128.26879229205204, 35.18035848612941], [128.27428322089506, 35.180323507808765], [128.2742404707164, 35.17581533252853], [128.26874984496874, 35.175850305039916]]",POINT (128.2715164569604 35.17808692861959),69.0,39.0,236,0,1,0,0,0,0,0,0
237,�쇰씪41b84b,금곡면,"MULTIPOLYGON (((127.9556449206368 35.15489008018617, 127.955670060377 35.15939854096166, 127.9611599038246 35.15937776863706, 127.9611344612306 35.15486931131259, 127.9556449206368 35.15489008018617)))","[[127.95564492063677, 35.15489008018617], [127.95567006037702, 35.15939854096166], [127.96115990382462, 35.15937776863706], [127.96113446123061, 35.154869311312595], [127.95564492063677, 35.15489008018617]]",POINT (127.9584023363997 35.15713394600292),0.0,0.0,237,0,0,0,0,0,0,0,0
238,�쇰씪77a88b,이반성면,"MULTIPOLYGON (((128.3457578189757 35.18886232289791, 128.3458045403105 35.19337040864803, 128.3512962397144 35.19333192682735, 128.351249215113 35.18882384746716, 128.3457578189757 35.18886232289791)))","[[128.3457578189757, 35.18886232289791], [128.34580454031052, 35.19337040864803], [128.3512962397144, 35.19333192682735], [128.351249215113, 35.188823847467155], [128.3457578189757, 35.18886232289791]]",POINT (128.3485269533113 35.19109714721247),9.0,6.0,238,0,1,0,0,0,0,0,0
239,�쇰씪54b93a,집현면,"MULTIPOLYGON (((128.0989331928614 35.23091088100245, 128.0989663312172 35.23541918098969, 128.1044611640746 35.23539186453414, 128.104427721757 35.23088356908064, 128.0989331928614 35.23091088100245)))","[[128.09893319286135, 35.23091088100245], [128.09896633121724, 35.23541918098969], [128.10446116407465, 35.23539186453414], [128.10442772175705, 35.23088356908064], [128.09893319286135, 35.23091088100245]]",POINT (128.1016971023241 35.23315139468776),17.0,7.000000000000001,239,0,0,0,0,0,0,0,0
242,�쇰씪60a90b,금산면,"MULTIPOLYGON (((128.159190303446 35.20805544378685, 128.1592267448056 35.21256370861098, 128.1647199732154 35.2125336734806, 128.1646832282501 35.20802541364283, 128.159190303446 35.20805544378685)))","[[128.15919030344597, 35.208055443786854], [128.15922674480555, 35.21256370861098], [128.16471997321537, 35.2125336734806], [128.1646832282501, 35.20802541364283], [128.15919030344597, 35.208055443786854]]",POINT (128.1619550622601 35.21029458064854),28.000000000000004,9.0,242,0,0,0,0,0,0,0,0
243,�쇰씪62a83b,금곡면,"MULTIPOLYGON (((128.1806356496796 35.14481804664459, 128.1806731885688 35.14932633883694, 128.1861621396843 35.14929537896593, 128.186124298139 35.14478709191759, 128.1806356496796 35.14481804664459)))","[[128.1806356496796, 35.14481804664459], [128.18067318856876, 35.14932633883694], [128.18616213968428, 35.14929537896593], [128.18612429813905, 35.144787091917586], [128.1806356496796, 35.14481804664459]]",POINT (128.1833988188424 35.14705673481104),60.0,35.0,243,0,1,0,0,0,0,0,0
244,�쇰씪68b85a,진성면,"MULTIPOLYGON (((128.2521118525142 35.15792090234393, 128.2521533534211 35.16242911423116, 128.2576430983391 35.16239490532683, 128.2576012945999 35.15788669912239, 128.2521118525142 35.15792090234393)))","[[128.25211185251425, 35.15792090234393], [128.25215335342105, 35.16242911423116], [128.25764309833914, 35.162394905326835], [128.25760129459985, 35.15788669912239], [128.25211185251425, 35.15792090234393]]",POINT (128.254877399525 35.16015792598543),7.000000000000001,0.0,244,0,0,0,0,0,0,0,0
245,�쇰씪76b88a,이반성면,"MULTIPOLYGON (((128.3402200047051 35.18439245386021, 128.3402664124652 35.18890054937473, 128.3457578189757 35.18886232289791, 128.3457111080141 35.18435423373129, 128.3402200047051 35.18439245386021)))","[[128.34022000470515, 35.18439245386021], [128.3402664124652, 35.18890054937473], [128.3457578189757, 35.18886232289791], [128.3457111080141, 35.18435423373129], [128.34022000470515, 35.18439245386021]]",POINT (128.3429888358242 35.18662741071502),16.0,11.0,245,0,0,0,0,0,0,0,0
247,�쇰씪39a94b,수곡면,"MULTIPOLYGON (((127.9286706426023 35.24515910058044, 127.9286943732164 35.24966751044371, 127.9341903152473 35.24964791690411, 127.9341662804255 35.24513951029228, 127.9286706426023 35.24515910058044)))","[[127.92867064260234, 35.245159100580445], [127.92869437321637, 35.249667510443714], [127.93419031524732, 35.24964791690411], [127.9341662804255, 35.245139510292276], [127.92867064260234, 35.245159100580445]]",POINT (127.9314304027629 35.24740353035283),28.000000000000004,11.0,247,0,0,0,0,0,0,0,0
250,�쇰씪50a85b,평거동,"MULTIPOLYGON (((128.0490268795769 35.16351997554975, 128.0490571811062 35.16802836526899, 128.0545475252105 35.16800335605771, 128.0545169207161 35.16349497049288, 128.0490268795769 35.16351997554975)))","[[128.04902687957693, 35.16351997554975], [128.0490571811062, 35.16802836526899], [128.0545475252105, 35.16800335605771], [128.05451692071614, 35.16349497049288], [128.04902687957693, 35.16351997554975]]",POINT (128.0517871265109 35.16576168757707),9391.0,737.0,250,0,3,0,0,0,0,0,0
251,�쇰씪63a80a,금곡면,"MULTIPOLYGON (((128.1913461658357 35.11319782046559, 128.1913842507894 35.117706126103, 128.1968710678736 35.1176747055636, 128.1968326807377 35.11316640514885, 128.1913461658357 35.11319782046559)))","[[128.19134616583574, 35.113197820465594], [128.19138425078935, 35.117706126103], [128.19687106787364, 35.1176747055636], [128.19683268073766, 35.113166405148846], [128.19134616583574, 35.113197820465594]]",POINT (128.1941085411304 35.11543628501584),19.999999999999996,9.999999999999998,251,0,0,0,0,0,0,0,0
252,�쇰씪66a85b,진성면,"MULTIPOLYGON (((128.2247044919284 35.1625964277695, 128.2247444875228 35.16710466404976, 128.2302345807606 35.16707169333417, 128.2301942822564 35.16256346253071, 128.2247044919284 35.1625964277695)))","[[128.22470449192838, 35.1625964277695], [128.2247444875228, 35.16710466404976], [128.23023458076057, 35.167071693334165], [128.23019428225638, 35.16256346253071], [128.22470449192838, 35.1625964277695]]",POINT (128.2274694604305 35.16483408265412),11.0,0.0,252,0,0,0,0,0,0,0,0
253,�쇰씪62b77b,금곡면,"MULTIPOLYGON (((128.1856708544311 35.09068738247692, 128.1857085952732 35.09519571026873, 128.1911939105652 35.09516456396236, 128.1911558678742 35.09065624134913, 128.1856708544311 35.09068738247692)))","[[128.1856708544311, 35.09068738247692], [128.18570859527316, 35.095195710268726], [128.19119391056518, 35.095164563962356], [128.19115586787416, 35.09065624134913], [128.1856708544311, 35.09068738247692]]",POINT (128.1884323068584 35.09292599519273),126.0,58.0,253,0,1,0,0,0,0,0,0
256,�쇰씪76a86b,이반성면,"MULTIPOLYGON (((128.3345906388325 35.17090609912307, 128.3346367126867 35.1754142111883, 128.3401272200934 35.17537625258458, 128.3400808432373 35.17086814682389, 128.3345906388325 35.17090609912307)))","[[128.3345906388325, 35.17090609912307], [128.3346367126867, 35.1754142111883], [128.34012722009345, 35.17537625258458], [128.3400808432373, 35.17086814682389], [128.3345906388325, 35.17090609912307]]",POINT (128.3373588534979 35.17314119816867),47.0,27.0,256,0,1,0,0,0,0,0,0
257,�쇰씪47a82a,내동면,"MULTIPOLYGON (((128.0158872848565 35.13210579048043, 128.0159157243225 35.13661422792768, 128.0214039883909 35.13659073895755, 128.0213752464217 35.13208230541376, 128.0158872848565 35.13210579048043)))","[[128.01588728485655, 35.13210579048043], [128.0159157243225, 35.13661422792768], [128.0214039883909, 35.13659073895755], [128.02137524642174, 35.13208230541376], [128.01588728485655, 35.13210579048043]]",POINT (128.0186455608646 35.13434828640577),63.0,26.0,257,0,1,0,0,0,0,0,0
258,�쇰씪56a91a,집현면,"MULTIPOLYGON (((128.1152806318464 35.21279501811005, 128.1153146518517 35.21730331794328, 128.1208082468038 35.21727527184422, 128.1207739231116 35.21276697666687, 128.1152806318464 35.21279501811005)))","[[128.11528063184645, 35.21279501811005], [128.11531465185166, 35.21730331794328], [128.12080824680376, 35.21727527184422], [128.12077392311164, 35.21276697666687], [128.11528063184645, 35.21279501811005]]",POINT (128.1180443632455 35.21503516691319),26.0,15.0,258,0,0,0,0,0,0,0,0
259,�쇰씪72b84b,이반성면,"MULTIPOLYGON (((128.2959832117919 35.15313214471457, 128.2960271255482 35.15764031339176, 128.3015164914984 35.15760412070702, 128.3014722749936 35.15309595804248, 128.2959832117919 35.15313214471457)))","[[128.29598321179193, 35.15313214471457], [128.29602712554825, 35.15764031339176], [128.30151649149838, 35.15760412070702], [128.30147227499356, 35.153095958042485], [128.29598321179193, 35.15313214471457]]",POINT (128.298749775753 35.15536815493937),42.0,24.0,259,0,0,0,0,0,0,0,0
260,�쇰씪69a91a,지수면,"MULTIPOLYGON (((128.2581035526466 35.21198494881456, 128.2581454679257 35.21649311414824, 128.2636388427743 35.21645858777712, 128.263596623857 35.21195042817502, 128.2581035526466 35.21198494881456)))","[[128.25810355264662, 35.21198494881456], [128.25814546792566, 35.216493114148236], [128.26363884277433, 35.21645858777712], [128.26359662385696, 35.211950428175015], [128.25810355264662, 35.21198494881456]]",POINT (128.2608711216065 35.21422179049937),29.0,18.0,260,0,0,0,0,0,0,0,0
262,�쇰씪69b86b,일반성면,"MULTIPOLYGON (((128.2632170751679 35.17137683843759, 128.2632592097966 35.17588502870102, 128.2687498449687 35.17585030503992, 128.2687074073098 35.17134212054378, 128.2632170751679 35.17137683843759)))","[[128.2632170751679, 35.17137683843759], [128.26325920979664, 35.17588502870102], [128.26874984496874, 35.175850305039916], [128.26870740730985, 35.17134212054378], [128.2632170751679, 35.17137683843759]]",POINT (128.2659833841145 35.17361359392013),24.0,19.0,262,0,0,0,0,0,0,0,0
263,�쇰씪52b94b,집현면,"MULTIPOLYGON (((128.0770507931242 35.24454257778535, 128.07708273689 35.24905088532326, 128.0825785110895 35.24902455347175, 128.082546263153 35.24451625030342, 128.0770507931242 35.24454257778535)))","[[128.0770507931242, 35.24454257778535], [128.07708273689005, 35.24905088532326], [128.0825785110895, 35.24902455347175], [128.08254626315298, 35.24451625030342], [128.0770507931242, 35.24454257778535]]",POINT (128.0798145759164 35.24678358751752),53.0,34.0,263,0,1,0,0,0,0,0,0
264,�쇰씪53a89b,봉래동,"MULTIPOLYGON (((128.0822241773308 35.19943303215923, 128.0822563537378 35.20394136922667, 128.0877490821217 35.20391483190985, 128.0877166022203 35.19940649924863, 128.0822241773308 35.19943303215923)))","[[128.08222417733083, 35.199433032159234], [128.08225635373776, 35.20394136922667], [128.08774908212172, 35.20391483190985], [128.0877166022203, 35.19940649924863], [128.08222417733083, 35.199433032159234]]",POINT (128.084986553703 35.20167395389813),1377.0,520.0,264,0,1,0,0,0,0,0,0
265,�쇰씪76b88b,이반성면,"MULTIPOLYGON (((128.3402664124652 35.18890054937473, 128.3403128305312 35.19340864147345, 128.3458045403105 35.19337040864803, 128.3457578189757 35.18886232289791, 128.3402664124652 35.18890054937473)))","[[128.3402664124652, 35.18890054937473], [128.3403128305312, 35.19340864147345], [128.34580454031052, 35.19337040864803], [128.3457578189757, 35.18886232289791], [128.3402664124652, 35.18890054937473]]",POINT (128.3430354003549 35.19113550135094),16.0,12.0,265,0,0,0,0,0,0,0,0
266,�쇰씪49b85b,평거동,"MULTIPOLYGON (((128.0435368317096 35.16354473183288, 128.0435668302723 35.16805312566519, 128.0490571811062 35.16802836526899, 128.0490268795769 35.16351997554975, 128.0435368317096 35.16354473183288)))","[[128.04353683170964, 35.16354473183288], [128.04356683027234, 35.16805312566519], [128.0490571811062, 35.16802836526899], [128.04902687957693, 35.16351997554975], [128.04353683170964, 35.16354473183288]]",POINT (128.0462969305262 35.16578657031399),758.0,132.0,266,0,1,0,0,0,0,0,0
267,�쇰씪77a83a,이반성면,"MULTIPOLYGON (((128.3452445684194 35.13927315420274, 128.3452911757751 35.14378127752314, 128.3507795429466 35.14374286595361, 128.350732633064 35.13923474901554, 128.3452445684194 35.13927315420274)))","[[128.34524456841945, 35.13927315420274], [128.34529117577506, 35.14378127752314], [128.35077954294655, 35.14374286595361], [128.35073263306404, 35.139234749015536], [128.34524456841945, 35.13927315420274]]",POINT (128.3480119798334 35.14150803238823),0.0,0.0,267,0,0,0,0,0,0,0,0
268,�쇰씪78a84b,이반성면,"MULTIPOLYGON (((128.3563623559711 35.15272041662601, 128.3564095998391 35.1572285168923, 128.3618988540784 35.1571895888469, 128.3618513074865 35.15268149504761, 128.3563623559711 35.15272041662601)))","[[128.35636235597107, 35.15272041662601], [128.35640959983908, 35.157228516892296], [128.3618988540784, 35.1571895888469], [128.36185130748652, 35.15268149504761], [128.35636235597107, 35.15272041662601]]",POINT (128.3591305291233 35.15495502507787),0.0,0.0,268,0,0,0,0,0,0,0,0
272,�쇰씪61a95a,대곡면,"MULTIPOLYGON (((128.1705098783678 35.24856930529399, 128.1705470010518 35.25307752951838, 128.1760429485269 35.25304695033134, 128.1760055216337 35.24853873118099, 128.1705098783678 35.24856930529399)))","[[128.1705098783678, 35.24856930529399], [128.1705470010518, 35.25307752951838], [128.17604294852688, 35.25304695033134], [128.17600552163367, 35.24853873118099], [128.1705098783678, 35.24856930529399]]",POINT (128.1732763372235 35.25080814988033),30.0,22.0,272,0,1,0,0,0,0,0,0
273,�쇰씪67b89a,사봉면,"MULTIPOLYGON (((128.2414603570605 35.19405425245478, 128.2415013250082 35.19856244835432, 128.2469935134063 35.19852869208903, 128.2469522420837 35.19402050179453, 128.2414603570605 35.19405425245478)))","[[128.2414603570605, 35.194054252454784], [128.24150132500822, 35.19856244835432], [128.24699351340627, 35.198528692089035], [128.24695224208367, 35.194020501794526], [128.2414603570605, 35.194054252454784]]",POINT (128.2442268591993 35.19629149443019),35.0,28.000000000000004,273,0,0,0,0,0,0,0,0
274,�쇰씪60a88b,금산면,"MULTIPOLYGON (((128.1590446189005 35.19002235052884, 128.1590810279065 35.19453062893718, 128.1645730422982 35.19450061374895, 128.1645363299561 35.18999234032479, 128.1590446189005 35.19002235052884)))","[[128.15904461890054, 35.19002235052884], [128.15908102790652, 35.19453062893718], [128.16457304229817, 35.19450061374895], [128.16453632995615, 35.189992340324785], [128.15904461890054, 35.19002235052884]]",POINT (128.161808754596 35.19226150413937),44.0,19.999999999999996,274,0,0,0,0,0,0,0,0
276,�쇰씪42a92b,대평면,"MULTIPOLYGON (((127.9615422215014 35.22700422306706, 127.9615677546543 35.23151262632466, 127.9670624472484 35.23149154932391, 127.9670366101651 35.22698314956473, 127.9615422215014 35.22700422306706)))","[[127.96154222150138, 35.227004223067055], [127.96156775465427, 35.23151262632466], [127.9670624472484, 35.23149154932391], [127.96703661016512, 35.22698314956473], [127.96154222150138, 35.227004223067055]]",POINT (127.9643022582738 35.22924790785375),35.0,17.0,276,0,0,0,0,0,0,0,0
277,�쇰씪51b88b,인사동,"MULTIPOLYGON (((128.0656843490628 35.19049442605868, 128.0657156010942 35.19500278287122, 128.0712077437827 35.19497700154056, 128.0711761883868 35.19046864900921, 128.0656843490628 35.19049442605868)))","[[128.06568434906285, 35.19049442605868], [128.06571560109424, 35.19500278287122], [128.07120774378265, 35.194977001540565], [128.07117618838683, 35.19046864900921], [128.06568434906285, 35.19049442605868]]",POINT (128.0684459704362 35.1927357356252),1944.0,559.0,277,0,1,0,0,0,0,0,1
278,�쇰씪61b75b,금곡면,"MULTIPOLYGON (((128.1745523363583 35.07271553444723, 128.1745894405243 35.07722388604284, 128.1800735655044 35.07719325637201, 128.1800361597538 35.07268490987026, 128.1745523363583 35.07271553444723)))","[[128.17455233635835, 35.072715534447234], [128.17458944052433, 35.077223886042844], [128.18007356550442, 35.07719325637201], [128.1800361597538, 35.07268490987026], [128.17455233635835, 35.072715534447234]]",POINT (128.1773128753604 35.0749544173479),107.0,64.0,278,0,1,0,0,0,0,0,0
282,�쇰씪64a79b,금곡면,"MULTIPOLYGON (((128.2022805063903 35.10862644299534, 128.2023191871162 35.11313474154286, 128.2078056849045 35.11310282964893, 128.2077667020669 35.10859453640602, 128.2022805063903 35.10862644299534)))","[[128.20228050639025, 35.10862644299534], [128.20231918711625, 35.113134741542865], [128.20780568490446, 35.11310282964893], [128.20776670206692, 35.10859453640602], [128.20228050639025, 35.10862644299534]]",POINT (128.2050430199379 35.11086465834032),0.0,,282,0,0,0,0,0,0,0,0
283,�쇰씪61a82a,금곡면,"MULTIPOLYGON (((128.1695475763047 35.13135428291473, 128.16958448528 35.13586259545471, 128.1750725452241 35.13583214801396, 128.1750353337906 35.13132384053372, 128.1695475763047 35.13135428291473)))","[[128.16954757630472, 35.13135428291473], [128.16958448528, 35.13586259545471], [128.17507254522414, 35.13583214801396], [128.17503533379062, 35.131323840533724], [128.16954757630472, 35.13135428291473]]",POINT (128.1723099849771 35.13359323743884),14.000000000000002,6.0,283,0,0,0,0,0,0,0,0
284,�쇰씪75b82b,이반성면,"MULTIPOLYGON (((128.3287346230514 35.13487873312951, 128.328780312666 35.13938687876136, 128.3342684081533 35.13934921907716, 128.3342224160721 35.13484107970308, 128.3287346230514 35.13487873312951)))","[[128.32873462305136, 35.13487873312951], [128.32878031266603, 35.13938687876136], [128.3342684081533, 35.13934921907716], [128.3342224160721, 35.13484107970308], [128.32873462305136, 35.13487873312951]]",POINT (128.331501439772 35.13711399837901),0.0,0.0,284,0,0,0,0,0,0,0,0
285,�쇰쭏58a02a,미천면,"MULTIPOLYGON (((128.1380307254801 35.3118627537506, 128.1380661327719 35.316370959986, 128.1435663948776 35.31634181066507, 128.1435306824188 35.31183360926264, 128.1380307254801 35.3118627537506)))","[[128.1380307254801, 35.3118627537506], [128.13806613277185, 35.316370959985996], [128.14356639487764, 35.31634181066507], [128.14353068241883, 35.31183360926264], [128.1380307254801, 35.3118627537506]]",POINT (128.1407984837246 35.31410230426391),0.0,0.0,285,0,0,0,0,0,0,0,0
286,�쇰씪49a82a,내동면,"MULTIPOLYGON (((128.0378390925571 35.13201035928123, 128.0378687420274 35.13651878086685, 128.0433569801594 35.13649429777968, 128.0433270281917 35.13198588026273, 128.0378390925571 35.13201035928123)))","[[128.03783909255714, 35.13201035928123], [128.0378687420274, 35.13651878086685], [128.04335698015944, 35.13649429777968], [128.04332702819173, 35.131985880262725], [128.03783909255714, 35.13201035928123]]",POINT (128.040597960595 35.13425235025836),0.0,0.0,286,0,0,0,0,0,0,0,0
287,�쇰씪57a84a,가좌동,"MULTIPOLYGON (((128.1257832299813 35.14962226307016, 128.1258177498756 35.15413060104003, 128.1313070840753 35.15410212272379, 128.13127226144 35.14959378948536, 128.1257832299813 35.14962226307016)))","[[128.12578322998132, 35.149622263070164], [128.1258177498756, 35.15413060104003], [128.13130708407533, 35.15410212272379], [128.13127226144002, 35.14959378948536], [128.12578322998132, 35.149622263070164]]",POINT (128.1285450811817 35.15186221480359),0.0,0.0,287,0,0,0,0,0,0,0,0
289,�쇰씪53a85b,주약동,"MULTIPOLYGON (((128.0819670231366 35.16336621363725, 128.0819991424335 35.16787457781011, 128.0874894447475 35.16784807572953, 128.0874570224947 35.16333971595903, 128.0819670231366 35.16336621363725)))","[[128.08196702313657, 35.163366213637254], [128.08199914243346, 35.16787457781011], [128.08748944474746, 35.16784807572953], [128.08745702249468, 35.16333971595903], [128.08196702313657, 35.163366213637254]]",POINT (128.0847281580531 35.16560716651846),11.0,9.0,289,0,0,0,0,0,0,0,0
290,�쇰씪46a92b,명석면,"MULTIPOLYGON (((128.0054971664025 35.2268286528336, 128.0055251309622 35.23133702694476, 128.0110197757621 35.23131395470487, 128.0109915072826 35.22680558442329, 128.0054971664025 35.2268286528336)))","[[128.0054971664025, 35.2268286528336], [128.0055251309622, 35.231337026944765], [128.0110197757621, 35.23131395470487], [128.01099150728257, 35.22680558442329], [128.0054971664025, 35.2268286528336]]",POINT (128.0082583949726 35.22907132550998),9.999999999999998,0.0,290,0,0,0,0,0,0,0,0
291,�쇰씪56b85a,호탄동,"MULTIPOLYGON (((128.1203626327602 35.15866716994964, 128.1203968651118 35.16317550582875, 128.125886812665 35.16314726680701, 128.1258522774363 35.15863893561905, 128.1203626327602 35.15866716994964)))","[[128.12036263276025, 35.15866716994964], [128.1203968651118, 35.16317550582875], [128.12588681266496, 35.16314726680701], [128.12585227743628, 35.158638935619045], [128.12036263276025, 35.15866716994964]]",POINT (128.1231246468335 35.16090724028179),6.0,,291,0,0,1,0,0,0,0,0
293,�쇰씪52b96a,집현면,"MULTIPOLYGON (((128.0771466457056 35.25806749022745, 128.0771786107586 35.26257578759333, 128.0826752978753 35.26254944263022, 128.0826430284491 35.25804114963534, 128.0771466457056 35.25806749022745)))","[[128.07714664570562, 35.258067490227454], [128.07717861075855, 35.262575787593335], [128.08267529787528, 35.26254944263022], [128.0826430284491, 35.25804114963534], [128.07714664570562, 35.258067490227454]]",POINT (128.0799108955495 35.26030848832851),42.0,16.0,293,0,0,0,0,0,0,0,0
295,�쇰씪50a90b,유곡동,"MULTIPOLYGON (((128.049330197879 35.208603720406, 128.049360566771 35.21311207626925, 128.0548539442287 35.21308702548912, 128.0548232716983 35.20857867378478, 128.049330197879 35.208603720406)))","[[128.04933019787904, 35.208603720406], [128.04936056677099, 35.213112076269255], [128.05485394422874, 35.213087025489116], [128.05482327169827, 35.20857867378478], [128.04933019787904, 35.208603720406]]",POINT (128.0520919950032 35.2108453947565),38.0,19.999999999999996,295,0,1,0,0,0,0,0,0
